siren,nic,siret,dateCreationEtablissement,dateDernierTraitementEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,dateDebut,etatAdministratifEtablissement
000325175,00024,00032517500024,2008-05-20,2011-12-12T09:40:04,PL,LEONCE DE SEYNES,84140,AVIGNON,84007,39
000325175,00032,00032517500032,2009-05-27,2014-07-08T00:10:21,AV,FRANCOIS MAURIAC,84000,AVIGNON,84007,39
000325175,00040,00032517500040,2011-10-21,2015-03-18T00:58:59,AV,DU COL DE L ANGE,13420,GEMENOS,13042,39
000325175,00057,00032517500057,2014-01-07,2018-07-10T14:17:15,RUE,MARX DORMOY,13004,MARSEILLE 4,13204,39
000325175,00065,00032517500065,2018-02-07,2019-12-13T13:21:28,RUE,MARX DORMOY,13004,MARSEILLE 4,13204,39
001807254,00014,00180725400014,1972-05-01,2009-10-02T11:01:38,RUE,D INGLEMUR,54200,TOUL,54528,39
001807254,00022,00180725400022,2009-10-01,2019-11-14T14:00:13,RUE,D ALEMBERT,02100,SAINT-QUENTIN,02691,39
005410899,00024,00541089900024,2000-01-01,2006-11-25T09:04:27,BD,VOLTAIRE,80100,ABBEVILLE,80001,39
005411582,00017,00541158200017,1954-01-01,2012-07-28T11:19:32,CHS,DU BOIS,80100,ABBEVILLE,80001,39
005420021,00015,00542002100015,1900-01-01,2010-04-18T03:00:20,RUE,DES LINGERS,80100,ABBEVILLE,80001,39
005420021,00023,00542002100023,1995-02-14,2011-04-23T04:00:22,RUE,TUROLD,76630,ENVERMEU,76235,39
005420021,00031,00542002100031,1996-03-15,2019-11-14T14:01:00,RUE,HENRI BARBUSSE,80130,FRIVILLE-ESCARBOTIN,80368,39
005420021,00049,00542002100049,2008-09-05,2011-04-23T04:00:22,RUE,VENTOSE,80100,ABBEVILLE,80001,39
005420021,00056,00542002100056,2009-12-23,2021-02-23T10:27:49,BD,DES PRES,80100,ABBEVILLE,80001,39
005420047,00010,00542004700010,1900-01-01,2008-10-01T16:56:43,CHS,MARCADE,80100,ABBEVILLE,80001,39
